Q_cash,Q_long,bin_left,bin_right
0.011378296024251895,0.004305677579969612,0.0,0.1
0.008913501851711612,0.0016667741524109747,0.1,0.2
0.010989697930957255,0.0019267947914943836,0.2,0.30000000000000004
0.01591927347568185,0.0022096011062756873,0.30000000000000004,0.4
0.014937790641620808,-0.0012110619638468086,0.4,0.5
0.001130683967710598,0.016129224012839935,0.5,0.6000000000000001
0.004165861336982688,0.01885061273555061,0.6000000000000001,0.7000000000000001
0.020535297513428266,0.009346815970791561,0.7000000000000001,0.8
0.01776646832355348,0.022886290464582043,0.8,0.9
0.025895763510888882,0.02868892011943291,0.9,1.0
